has,prefers,count
"Paul M","Leibovici L",2
"Perera R","Del Mar CB",3
"Perera R","Gill P",2
"Perera R","Glasziou PP",3
"Perera R","Harnden A",3
"Perera R","Hayward G",3
"Perera R","Heneghan CJ",4
"Perera R","Thompson MJ",4
"Perera R","Wang K",3
"Plint AC","Bialy LM",2
"Plint AC","Fernandes RM",2
"Plint AC","Hartling L",2
"Plint AC","Johnson DW",2
"Plint AC","Klassen TP",2
"Plint AC","Patel H",2
"Plint AC","Tjosvold L",2
"Plint AC","Vandermeer B",2
"Rivetti A","Demicheli V",2
"Rivetti A","Di Pietrantonj C",2
"Rocha Crispino Santos MA","Alves Galvão MG",2
"Rocha Crispino Santos MA","Alves da Cunha AJL",2
"Rojas-Reyes MX","Granados Rugeles C",2
"Rovers MM","Del Mar CB",2
"Rovers MM","Glasziou PP",2
"Rovers MM","Venekamp RP",2
"Russell K","Johnson DW",2
"Russell K","Klassen TP",2
"Sathiyasekaran BWC","Elayaraja S",2
"Sathiyasekaran BWC","James S",2
"Sathiyasekaran BWC","Meleveedu R",2
"Sathiyasekaran BWC","Shah PB",2
"Shah PB","Elayaraja S",2
"Shah PB","James S",2
"Shah PB","Meleveedu R",2
"Shah PB","Sathiyasekaran BWC",2
"Smith SM","Fahey T",2
"Spurling GKP","Del Mar CB",2
"Spurling GKP","Farley R",2
"Thanaviratananich S","Ngamjarus C",2
"Thomas RE","Jefferson T",2
"Thompson MJ","Del Mar CB",4
"Thompson MJ","Glasziou PP",3
"Thompson MJ","Hayward G",3
"Thompson MJ","Heneghan CJ",5
"Thompson MJ","Perera R",4
"Thorning S","Al-Ansary LA",2
"Thorning S","Del Mar CB",2
"Thorning S","Ferroni E",2
"Thorning S","Jefferson T",2
"Tjosvold L","Bialy LM",2
"Tjosvold L","Fernandes RM",2
"Tjosvold L","Hartling L",2
"Tjosvold L","Johnson DW",2
"Tjosvold L","Klassen TP",2
"Tjosvold L","Patel H",2
"Tjosvold L","Plint AC",2
"Tjosvold L","Vandermeer B",2
"Vandermeer B","Bialy LM",2
"Vandermeer B","Fernandes RM",2
"Vandermeer B","Hartling L",2
"Vandermeer B","Johnson DW",3
"Vandermeer B","Klassen TP",3
"Vandermeer B","Patel H",2
"Vandermeer B","Plint AC",2
"Vandermeer B","Tjosvold L",2
"Venekamp RP","Del Mar CB",2
"Venekamp RP","Glasziou PP",2
"Venekamp RP","Rovers MM",2
"Wang K","Gill P",2
"Wang K","Harnden A",3
"Wang K","Perera R",3
"Wu HM","Dong BR",3
"Wu HM","Li T",2
"Wu HM","Liu GJ",2
"Wu HM","Yang M",3
"Wu T","Dong BR",4
"Wu T","Jiang L",2
"Wu T","Li K",2
"Wu T","Li S",2
"Wu T","Yang M",2
"Yang M","Dong BR",5
"Yang M","Li T",2
"Yang M","Lin X",2
"Yang M","Liu GJ",3
"Yang M","Wu HM",3
"Yang M","Wu T",2
"Young MK","Cripps AW",2
"Young MK","Nimmo GR",2
"Zhang M","Li Y",2
"van Driel ML","Cripps AW",2
"van Driel ML","De Sutter AIM",5
"van Driel ML","Del Mar CB",2
"van Driel ML","McGuire T",2
